imagem,ia,modelo,prompt,classificacao,confianca,justificativa
C003_T001_IMG003.jpg,Claude,claude-sonnet-4-5-20250929,P1,ALFABETICO,0.95,"A criança demonstra compreensão do sistema alfabético de escrita, produzindo palavras com correspondência sonora adequada entre grafemas e fonemas. Observam-se escritas convencionais como 'BALA', 'GALAO' e 'CAROTA' (cenoura), além de tentativas de escrita de outras palavras. Há domínio da base alfabética, mesmo que ainda apresente erros ortográficos típicos do processo de alfabetização, como a troca de 'cenoura' por 'carota'. A presença de palavras escritas de forma convencional e a tentativa de representar todos os fonemas das palavras confirmam o nível alfabético."
C003_T001_IMG003.jpg,Claude,claude-sonnet-4-5-20250929,P2,SILABICO_ALFABETICO,0.85,"A produção apresenta clara diferenciação entre desenho e escrita. Observam-se tentativas de escrita com correspondência sonora, porém com oscilação entre hipóteses. Em 'BALA SU' (provavelmente 'bala de/do'), nota-se redução silábica. Em 'GALAO' (galão), faltam letras mas há correspondência parcial. 'BILHADE' mostra tentativa alfabética com omissões. 'CAROTA' (carroça/carreta) demonstra fonetização com trocas ortográficas. A criança já compreende que precisa de mais de uma letra por sílaba em alguns casos, mas ainda não domina completamente o princípio alfabético, oscilando entre representação silábica e alfabética."
C003_T001_IMG003.jpg,Gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,0.95,"A criança escreve palavras completas com correspondência sonora quase integral, como 'BALA', 'SU', 'GALATINA', 'BIHADE' e 'CAROLO', demonstrando que compreendeu o princípio alfabético (uma letra para cada fonema)."
C003_T001_IMG003.jpg,Gemini,models/gemini-flash-lite-latest,P2,SILABICO_ALFABETICO,0.85,"A escrita apresenta mistos de correspondências parciais silábicas e alfabéticas (como em 'BALA SU GALATINA' e 'CAROLO', onde algumas sílabas são representadas por uma única letra e outras de forma mais completa, oscilando entre a hipótese silábica e a alfabética)."
C004_T001_IMG004.jpg,OpenAI,gpt-4o-mini,P1,ALFABETICO,0.9,"A produção escrita apresenta palavras reconhecíveis e uma estrutura que demonstra o uso do alfabeto, com a formação de palavras completas e a utilização de letras que representam sons de forma adequada."
C004_T001_IMG004.jpg,OpenAI,gpt-4o-mini,P2,SILABICO_ALFABETICO,0.8,"A criança demonstra uma compreensão de que as sílabas podem ser representadas por letras, mas ainda oscila entre a escrita silábica e alfabética. Há uma tentativa de correspondência entre sílabas e grafemas, embora existam erros ortográficos e algumas letras não correspondam exatamente aos sons."
C004_T001_IMG004.jpg,Claude,claude-sonnet-4-5-20250929,P1,ALFABETICO,0.95,"A criança demonstra domínio do sistema alfabético de escrita, com correspondência adequada entre fonemas e grafemas. As palavras escritas ('Bola', 'Boneca', 'Boneca', 'Gerigideira' e na outra parte 'Eu quero gané', 'Mina, Mãe e', 'Vinha, pra sipri') apresentam estrutura alfabética completa, mesmo com alguns erros ortográficos esperados no processo de alfabetização (como 'gané' para 'ganhar', 'sipri' para 'subir'). A criança utiliza vogais e consoantes de forma sistemática para representar todos os sons das palavras."
C004_T001_IMG004.jpg,Claude,claude-sonnet-4-5-20250929,P2,ALFABETICO,0.95,"A criança demonstra compreensão do princípio alfabético, estabelecendo correspondência entre grafemas e fonemas. Observa-se escrita de palavras legíveis como 'bola', 'boneca', 'geladeira' (escrito como 'lerigideira'), e na frase 'Eu quero ganhar Minha, Mãe e Vinha, para supri'. Apesar de apresentar erros ortográficos e algumas trocas de letras, há clara segmentação de palavras, uso de letras maiúsculas e minúsculas, e tentativa de registro completo dos fonemas. A escrita é decifrável e demonstra domínio da base alfabética, característico desta fase."
C004_T001_IMG004.jpg,Gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,0.95,"A criança escreve palavras e frases completas com correspondência sonora regular quase completa (ex: 'Bolo', 'brinquedeiro', 'Eu quero que Nina, Mãe e Vivi, pra sipri'), utilizando domínio avançado do sistema alfabético, embora com pequenas variações ortográficas típicas da fase."
C004_T001_IMG004.jpg,Gemini,models/gemini-flash-lite-latest,P2,ALFABETICO,0.95,"A escrita apresenta correspondência quase constante entre grafemas e fonemas, com segmentação de palavras e domínio do princípio alfabético ('Eu quero que Mina, Mãe e Vivia, pro sipri', além da lista 'Bolo, Bilulito, Boneca, Brigideiro, Pé'). Há legibilidade e valor sonoro convencional estruturado."
C005_T001_IMG005.jpg,OpenAI,gpt-4o-mini,P1,SILABICO_ALFABETICO,0.8,"A escrita apresenta uma combinação de letras que refletem a tentativa de representar sons silábicos, mas também utiliza algumas letras isoladas que indicam uma compreensão do alfabeto. As palavras não estão totalmente corretas, mas há uma relação entre os sons e as letras."
C005_T001_IMG005.jpg,OpenAI,gpt-4o-mini,P2,SILABICO_ALFABETICO,0.8,"A criança demonstra uma compreensão parcial da relação entre sílabas e letras, utilizando grafismos que correspondem a sílabas e algumas letras que representam sons. Há uma oscilação entre a escrita silábica e a alfabética, com tentativas de segmentar sílabas em fonemas, embora ainda haja erros ortográficos."
C005_T001_IMG005.jpg,Claude,claude-sonnet-4-5-20250929,P1,ALFABETICO,0.95,"A criança demonstra compreensão do princípio alfabético, representando todos os fonemas das palavras com letras correspondentes. Observa-se escrita de palavras como 'Mãe AFEIU BOLA' (Mãe afeiou bola), 'FLamengO', 'Chuteira', 'FINTA Bringadeira' (finta brincadeira) e 'Meu AVI JABULO Foi LEGA' (Meu avô Jabulo foi legal). Apesar de apresentar erros ortográficos típicos da fase inicial da alfabetização (como trocas, omissões e hipercorreções), a criança já estabeleceu a relação fonema-grafema de forma sistemática, característica fundamental do nível alfabético."
C005_T001_IMG005.jpg,Claude,claude-sonnet-4-5-20250929,P2,ALFABETICO,0.95,"A criança demonstra compreensão do princípio alfabético, com correspondência entre grafemas e fonemas. As palavras são legíveis e reconhecíveis, mesmo com alguns erros ortográficos (ex: 'BOLA' está claro, assim como 'FLAMINGO' e 'CHUTEIRA'). Há uso consistente de letras convencionais para representar os sons das palavras. A escrita permite leitura, indicando que a criança superou as hipóteses silábica e silábico-alfabética, consolidando a base alfabética da escrita."
C005_T001_IMG005.jpg,Gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,0.98,"A criança escreve de forma convencional, representando quase todas as sílabas e fonemas com estabilidade ortográfica (ex: '1 de abril', 'bola', 'flamengo', 'chuteira', 'tinha brigadeiro', 'meu aniversário foi legal'). A escrita já compreende o sistema alfabético e o valor sonoro das letras, com pequenas variações de espaçamento ou ortografia informal próprias da faixa etária."
C005_T001_IMG005.jpg,Gemini,models/gemini-flash-lite-latest,P2,ALFABETICO,0.95,"A criança demonstra a compreensão de que cada grafema representa um fonema da fala, escrevendo palavras completas e legíveis que refletem a estrutura sonora dos termos (como em '1 de abril', 'bola', 'flamengo', 'chuteira', 'tinha brigadeiro', 'meu aniversário foi legal'), apresentando correspondência alfabética consistente mesmo com variações ortográficas típicas da fase."
C006_T001_IMG006.jpg,OpenAI,gpt-4o-mini,P1,SILABICO_ALFABETICO,0.85,"A produção apresenta uma combinação de sílabas e letras, com algumas palavras escritas de forma correta e outras com erros, indicando uma compreensão parcial do sistema alfabético."
C006_T001_IMG006.jpg,OpenAI,gpt-4o-mini,P2,SILABICO_ALFABETICO,0.8,"A criança demonstra uma compreensão parcial da relação entre sílabas e letras, utilizando algumas letras para representar sílabas inteiras, mas ainda apresenta inconsistências na correspondência entre grafemas e fonemas. Há uma mistura de escrita silábica e alfabética, como observado em palavras como 'BRI' e 'Caminhão'."
C006_T001_IMG006.jpg,Claude,claude-sonnet-4-5-20250929,P1,ALFABETICO,0.95,"A criança demonstra compreensão do sistema alfabético de escrita, utilizando letras para representar os fonemas das palavras. Observa-se escrita convencional em várias palavras como 'MARIA', 'COMROL' (comprou), 'de', 'cantina', 'BRi' (brinquedo), 'jornal', 'BRIGADEIRO', 'BOLO', 'CAMINHÃO'. Embora haja omissões e trocas ortográficas típicas do processo de alfabetização (como 'COMROL' para 'comprou', 'BRi' para 'brinquedo'), a criança já estabeleceu a correspondência grafema-fonema de forma sistemática, característica do nível alfabético."
C006_T001_IMG006.jpg,Claude,claude-sonnet-4-5-20250929,P2,ALFABETICO,0.95,"A criança demonstra compreensão do princípio alfabético, com correspondência sistemática entre grafemas e fonemas. Escreve palavras legíveis como 'MARIA', 'COMROL' (comprou), 'CANTINA' (cantina), 'BRiQUeDo' (brinquedo), 'jornal', 'BRiGADEiRO' (brigadeiro), 'BOLO' e 'CAMiNHÃO', mesmo com trocas ortográficas típicas (Q por C, ausência de nasalização). Há diferenciação clara entre desenho (caminhão) e escrita. A produção revela domínio da base alfabética, apesar dos erros ortográficos esperados nesta fase."
C006_T001_IMG006.jpg,Gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,0.95,"A criança escreve palavras com correspondência quase completa entre os grafemas e os fonemas (como em 'BRIGADEIRO', 'BOLO', 'CAMINHÃO', 'JORNAL'), demonstrando a compreensão do princípio alfabético do sistema de escrita, mesmo com algumas trocas ou aglutinações (ex: 'maria comrol' por comprou)."
C006_T001_IMG006.jpg,Gemini,models/gemini-flash-lite-latest,P2,ALFABETICO,0.99,"A criança escreve palavras completas com correspondência fonema-grafema plenamente estabelecida ('MARIA COMPROU $150 DE CARTINHA', 'BRIGADEIRO', 'BOLO', 'CAMINHÃO'), demonstrando o domínio do princípio alfabético e capacidade de escrita convencional, independentemente de pequenos desvios ortográficos."
C007_T001_IMG007.jpg,OpenAI,gpt-4o-mini,P1,SILABICO,0.8,"A escrita apresenta uma tentativa de representar sons silábicos, mas ainda não utiliza a correspondência alfabética de forma consistente."
C007_T001_IMG007.jpg,OpenAI,gpt-4o-mini,P2,SILABICO_ALFABETICO,0.8,"A criança demonstra uma compreensão parcial da relação entre sílabas e letras, utilizando algumas letras que correspondem a sons, mas ainda apresenta inconsistências na correspondência entre grafemas e fonemas. A escrita mostra uma oscilação entre a hipótese silábica e a alfabética."
C007_T001_IMG007.jpg,Claude,claude-sonnet-4-5-20250929,P1,ALFABETICO,0.95,"A criança demonstra compreensão do sistema alfabético de escrita, representando todos os fonemas das palavras com letras convencionais. Observa-se escrita de palavras como 'sapo', 'pato', 'coelho', 'casa', 'macaco' (no topo) e 'a casa e a cabeça' (na parte inferior), com correspondência sonora completa e organização alfabética das letras, ainda que com algumas questões ortográficas típicas do processo de alfabetização."
C007_T001_IMG007.jpg,Claude,claude-sonnet-4-5-20250929,P2,ALFABETICO,0.95,"A criança demonstra domínio do princípio alfabético em todas as palavras escritas. Observa-se correspondência sistemática entre grafemas e fonemas nas escritas: 'gros' (grãos), 'Ralo' (ralo), 'coflui' (coelho), 'casa' (casa), 'morelo' (martelo) e 'a caora e caRcasa' (a cenoura e a cabeça). Apesar dos erros ortográficos presentes, todas as palavras são legíveis e mostram que a criança compreende que cada letra representa um som da fala. Há uso adequado de vogais e consoantes para representar todos os fonemas das palavras, característica definitiva do nível alfabético."
C007_T001_IMG007.jpg,Gemini,models/gemini-flash-lite-latest,P1,PRE_SILABICO,0.95,A criança utiliza repertório de letras conhecidas sem estabelecer correspondência com os sons da fala (fonemas/sílabas). Há variação na quantidade de caracteres e ausência de valor sonoro convencional nas produções do topo da folha e na frase inferior.
C007_T001_IMG007.jpg,Gemini,models/gemini-flash-lite-latest,P2,ALFABETICO,0.85,"A criança demonstra a compreensão de que cada letra representa um fonema (som), escrevendo as palavras com correspondência quase total entre grafemas e fonemas (ex: 'caora e caraca' ou tentativas semelhantes na parte inferior e superior da folha, com estrutura sonora completa para as sílabas e fonemas das palavras propostas)."
C008_T001_IMG008.jpg,OpenAI,gpt-4o-mini,P1,SILABICO_ALFABETICO,0.85,"A produção apresenta uma combinação de letras que parecem representar sílabas, mas também há indícios de uso de letras isoladas que correspondem a sons, indicando uma transição para o uso do alfabeto."
C008_T001_IMG008.jpg,OpenAI,gpt-4o-mini,P2,SILABICO_ALFABETICO,0.8,"A produção escrita apresenta uma mistura de grafemas que correspondem a sílabas e algumas tentativas de representar fonemas, indicando uma oscilação entre a hipótese silábica e a alfabética. As palavras escritas mostram uma tentativa de correspondência entre sílabas e letras, mas ainda com erros e falta de consolidação do princípio alfabético."
C008_T001_IMG008.jpg,Claude,claude-sonnet-4-5-20250929,P1,SILABICO_ALFABETICO,0.85,"A criança demonstra estar em transição entre a hipótese silábica e alfabética. Observam-se palavras com representação silábica (ex: 'BOLO', 'BALÃO') onde há tentativa de correspondência sonora, mas também escritas mais complexas como 'VELA', 'HRIAVELEGAU' onde há maior número de letras que sílabas, indicando a percepção de que a sílaba contém mais de uma letra. A presença de vogais e consoantes misturadas, com tentativas de análise fonética mais refinada, caracteriza o nível silábico-alfabético."
C008_T001_IMG008.jpg,Claude,claude-sonnet-4-5-20250929,P2,ALFABETICO,0.95,"A criança demonstra compreensão do princípio alfabético, estabelecendo correspondência sistemática entre grafemas e fonemas. Observa-se escrita de palavras legíveis como 'VELA', 'BOLO', 'BALÃO' e 'SOU', com uso adequado de letras para representar sons. Embora haja erros ortográficos (HBPRN, RIGADLU, BALHNI, HRIAVELEGAU, BALAD) e omissões/trocas de letras, a criança já ultrapassou as hipóteses silábicas, registrando múltiplas letras por sílaba e demonstrando tentativa de representar todos os fonemas das palavras, característica típica da fase alfabética."
C008_T001_IMG008.jpg,Gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,0.95,"A escrita apresenta uma correspondência sistemática entre grafemas e fonemas, com segmentação convencional das palavras e uso de repertório alfabético completo, refletindo a compreensão do princípio alfabético (ex: 'BOLO', 'VELA', 'BALÃO', 'RIGADLU', etc.)."
C008_T001_IMG008.jpg,Gemini,models/gemini-flash-lite-latest,P2,ALFABETICO,0.95,"A criança escreve palavras completas com correspondência clara entre grafemas e fonemas, demonstrando a compreensão de que cada letra representa um som (ex: 'VELA', 'BOLO', 'BALÃO', 'SOU'), com domínio do princípio alfabético, embora com pequenas variações ortográficas e traçados infantis."
C009_T001_IMG009.jpg,OpenAI,gpt-4o-mini,P1,PRE_SILABICO,0.9,"A produção escrita apresenta formas que não correspondem a letras ou sílabas reconhecíveis, indicando uma fase inicial de exploração gráfica."
C009_T001_IMG009.jpg,OpenAI,gpt-4o-mini,P2,PRE_SILABICO,0.9,A produção apresenta grafismos que não estabelecem uma relação sistemática entre escrita e fala. Os caracteres são desenhos ou formas que não possuem valor sonoro convencional.
C009_T001_IMG009.jpg,Claude,claude-sonnet-4-5-20250929,P1,PRE_SILABICO,0.95,"A escrita apresenta grafismos compostos predominantemente por formas circulares e ovais, sem diferenciação clara entre letras. Não há correspondência sonora entre grafemas e fonemas. A criança utiliza pseudoletras e formas arbitrárias, característicos da fase pré-silábica, onde ainda não compreende que a escrita representa os sons da fala."
C009_T001_IMG009.jpg,Claude,claude-sonnet-4-5-20250929,P2,PRE_SILABICO,0.95,"A produção apresenta grafismos compostos por formas circulares e ovais repetitivas, sem diferenciação clara entre as unidades. Não há uso de letras convencionais nem relação entre a quantidade de grafias e possíveis unidades sonoras. Os traçados são predominantemente circulares e contínuos, característicos da fase pré-silábica onde a criança ainda não estabelece correspondência entre escrita e pauta sonora. A escrita aparenta ser imitativa, sem valor sonoro convencional."
C009_T001_IMG009.jpg,Gemini,models/gemini-flash-lite-latest,P1,PRE_SILABICO,0.95,"A criança utiliza garatujas e pseudoletras/letras isoladas que não guardam correspondência sonora convencional com a fala, característica da hipótese pré-silábica."
C009_T001_IMG009.jpg,Gemini,models/gemini-flash-lite-latest,P2,PRE_SILABICO,0.95,"A produção apresenta traços gráficos isolados, letras sem valor sonoro convencional relacionado à palavra pretendida ('rod d'), e ausência de correspondência sistemática entre a escrita e a emissão oral da fala."
C010_T001_IMG010.jpg,OpenAI,gpt-4o-mini,P1,SILABICO_ALFABETICO,0.85,"A produção escrita apresenta uma combinação de sílabas e algumas letras isoladas, indicando que a criança está começando a usar o alfabeto de forma mais consciente, mas ainda não domina completamente a correspondência entre sons e letras."
C010_T001_IMG010.jpg,OpenAI,gpt-4o-mini,P2,SILABICO_ALFABETICO,0.8,"A produção escrita apresenta uma tentativa de correspondência entre sílabas e letras, com algumas palavras legíveis e uma oscilação entre a escrita silábica e alfabética. A criança demonstra uma compreensão parcial do princípio alfabético, mas ainda apresenta erros ortográficos."
C010_T001_IMG010.jpg,Claude,claude-sonnet-4-5-20250929,P1,ALFABETICO,0.95,"A criança demonstra domínio do sistema alfabético de escrita, representando todos os fonemas das palavras com letras correspondentes. Observa-se escrita de palavras completas como 'vovó', 'galinha', 'preta', com correspondência sonora adequada entre grafemas e fonemas. Há tentativas de escrita de frases mais complexas, indicando compreensão da segmentação entre palavras e uso convencional da escrita alfabética, mesmo com algumas inadequações ortográficas próprias do processo de alfabetização."
C010_T001_IMG010.jpg,Claude,claude-sonnet-4-5-20250929,P2,ALFABETICO,0.95,"A criança demonstra compreensão do princípio alfabético, estabelecendo correspondência entre grafemas e fonemas. As palavras são legíveis e apresentam estrutura alfabética consolidada: 'vovô', 'galinha', 'preta', 'Menino loiro lá e legal' (com tentativa de escrever frases complexas) e 'Hayleta Kauanne' (nome próprio). Observa-se domínio da base alfabética, com uso de letras cursivas e tentativas de representação sonora completa das palavras, mesmo apresentando alguns desvios ortográficos convencionais, o que é característico desta fase."
C010_T001_IMG010.jpg,Gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,0.98,"A criança escreve frases completas ('Meu aniversário foi legal' e 'Larissa Kawanne') utilizando correspondência entre fonemas e grafemas de forma convencional, demonstrando domínio do sistema alfabético da escrita."
C010_T001_IMG010.jpg,Gemini,models/gemini-flash-lite-latest,P2,ALFABETICO,0.98,"A criança escreve frases completas com correspondência sistemática entre grafemas e fonemas, refletindo a estrutura sonora das palavras (ex: 'Meu aniversário foi legal', 'Larissa Kauanne'). Embora apresente pequenos desvios ortográficos e hipergeneralizações, domina plenamente o princípio alfabético."
C011_T001_IMG011.jpg,OpenAI,gpt-4o-mini,P1,ALFABETICO,0.9,"A produção escrita apresenta palavras escritas de forma correta e com uso adequado das letras, indicando que a criança já possui domínio do sistema alfabético."
C011_T001_IMG011.jpg,OpenAI,gpt-4o-mini,P2,ALFABETICO,0.9,"A produção escrita apresenta palavras legíveis com correspondência entre grafemas e fonemas, indicando que a criança compreende que cada letra representa um som. Apesar de alguns erros ortográficos, a escrita demonstra domínio do princípio alfabético."
C011_T001_IMG011.jpg,Claude,claude-sonnet-4-5-20250929,P1,ALFABETICO,0.95,"A escrita apresenta domínio do sistema alfabético com correspondência grafofônica adequada. Observam-se palavras como 'Bolo', 'considerada', 'biscoito', 'furentir', 'bombora' e frases como 'Uma lição de libras Tartuli' e 'Meu aniversario foi muito legal'. Apesar de alguns desvios ortográficos típicos do processo de alfabetização (ex: 'furentir' possivelmente para 'frutinir/futebol', 'bombora' para 'abóbora'), a criança demonstra compreensão de que cada fonema é representado por um grafema, característica fundamental do nível alfabético."
C011_T001_IMG011.jpg,Claude,claude-sonnet-4-5-20250929,P2,ALFABETICO,0.95,"A criança demonstra compreensão consolidada do princípio alfabético, estabelecendo correspondência sistemática entre grafemas e fonemas. As palavras são legíveis: 'Bolo', 'compridada' (comida), 'dissaobiro' (desdobro/descobriu), 'Pusentir' (presentes), 'Combona' (bombom), 'uma lissao de libra Tentuli' (uma lição de leitura), 'Meu emiversarario foi muito leagau' (meu aniversário foi muito legal). Há domínio da base alfabética com erros ortográficos esperados (trocas, junções, omissões), mas sem comprometimento da legibilidade. A escrita é cursiva e fluente."
C011_T001_IMG011.jpg,Gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,0.98,"A criança demonstra domínio do sistema alfabético de escrita, realizando correspondências regulares entre fonemas e grafemas (com pequenas variações ortográficas, como em 'leagal' por legal ou 'aniversário'), escrevendo palavras completas e coerentes com a fala, como 'Bolo', 'brigadeiro', 'presentes' e a frase completa 'Meu aniversário foi muito legal', além de registrar seu nome completo."
C011_T001_IMG011.jpg,Gemini,models/gemini-flash-lite-latest,P2,ALFABETICO,0.98,"A criança escreve todas as palavras com correspondência quase completa entre grafemas e fonemas, gerando frases plenamente legíveis e com sentido ('Meu aniversário foi muito legal', 'Bolo', 'convidados', 'brigadeiro', 'presentes', 'parabéns'), o que caracteriza a consolidação do sistema alfabético, apesar de pequenos desvios ortográficos."
C012_T001_IMG012.jpg,OpenAI,gpt-4o-mini,P1,SILABICO,0.8,"A escrita apresenta uma tentativa de representar sons silábicos, mas ainda não utiliza a correspondência alfabética de forma consistente. As palavras parecem ser formadas por sílabas, mas não seguem a ortografia correta."
C012_T001_IMG012.jpg,OpenAI,gpt-4o-mini,P2,SILABICO_ALFABETICO,0.8,"A escrita apresenta uma combinação de sílabas e algumas letras que indicam uma tentativa de correspondência entre sons e grafemas. A criança parece oscilar entre a escrita silábica e a alfabética, utilizando letras que representam sílabas, mas ainda sem uma correspondência sonora totalmente convencional."
C012_T001_IMG012.jpg,Claude,claude-sonnet-4-5-20250929,P1,ALFABETICO,0.9,"A criança demonstra domínio do sistema alfabético de escrita, utilizando letras convencionais para representar todos os fonemas das palavras. Observa-se escrita de palavras completas como 'SOU', 'BOLUBH', 'BERO', 'BIG', 'AVERO', 'MEDANI', 'VESARO', 'BH', ainda que com algumas trocas ortográficas e junções não convencionais. A criança compreende que cada letra representa um som e utiliza múltiplas letras para formar sílabas complexas, característica do nível alfabético."
C012_T001_IMG012.jpg,Claude,claude-sonnet-4-5-20250929,P2,ALFABETICO,0.95,"A criança demonstra clara compreensão do princípio alfabético, estabelecendo correspondência entre grafemas e fonemas. As palavras são perfeitamente legíveis: 'SOU', 'BOLUBHA' (provável tentativa de 'BORBOLETA'), 'BERONBIGRAVERO' (escrita não convencional, possivelmente experimental), 'MEDANI' e 'VESARO BH'. Observa-se uso consistente de letras convencionais, segmentação entre palavras e tentativa de registro sonoro completo das unidades fonêmicas, mesmo que com erros ortográficos. A escrita revela domínio do sistema alfabético, característica fundamental desta fase."
C012_T001_IMG012.jpg,Gemini,models/gemini-flash-lite-latest,P1,ALFABETICO,0.95,"A criança escreve empregando correspondências entre letras e fonemas de forma contínua, segmentando palavras e demonstrando domínio do sistema alfabético, embora com aglutinações típicas da infância (ex: 'SOUBOLUBHBEROBIGADEROMEDANIVESARIDBH')."
C012_T001_IMG012.jpg,Gemini,models/gemini-flash-lite-latest,P2,ALFABETICO,0.95,"A criança escreve empregando uma letra para cada fonema, produzindo uma escrita plenamente legível, correspondente à fala (com aglutinações e trocas ortográficas comuns, mas demonstrando total domínio do princípio alfabético)."
